,last_name_x, first_name_x,player_id,year_x,pa,bip,woba,est_woba,est_woba_minus_woba_diff,xWRAA,display_team_name,year_y,primary_pos_formatted,fielding_runs_prevented,outs_above_average,runs_extra_strikes,strike_rate,xDRAA,fg_id_x,full_name,Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,fg_id_y,xWAR
37,Gregorius, Didi,544369,2020,237,190,0.342,0.298,0.044000000000000004,-2.8000000000000025,Phillies,2020.0,SS,0.0,-1.0,,,0.0,6012,Didi Gregorius,Didi Gregorius,Phillies,5.0,0.4,0.4,2.4,5.3,2.8,-1.4,7.7,14.4,1.4,$11.2,6012.0,0.7506412676773244
38,Martinez, J.D.,502110,2020,237,154,0.285,0.304,-0.019,-1.6000000000000012,Red Sox,2020.0,LF,0.0,0.0,,,0.0,6184,J.D. Martinez,J.D. Martinez,Red Sox,-6.8,-1.0,-3.1,-5.5,-7.8,-8.6,-1.4,7.7,-10.1,-1.0,($7.9),6184.0,-0.037143210050744
39,Semien, Marcus,543760,2020,236,161,0.294,0.27399999999999997,0.02,-7.567932489451484,Athletics,2020.0,SS,-2.0,-3.0,,,-2.0,12533,Marcus Semien,Marcus Semien,Athletics,-2.6,1.8,2.1,2.3,-0.8,4.4,0.8,7.7,12.1,1.2,$9.4,12533.0,0.2156774197031665
40,Baez, Javier,595879,2020,235,149,0.252,0.265,-0.013000000000000001,-9.320675105485229,Cubs,2020.0,SS,3.0,4.0,,,3.0,12979,Javier Baez,Javier Baez,Cubs,-13.1,-0.4,0.4,2.3,-13.5,2.7,2.9,7.7,-0.3,0.0,($0.2),12979.0,0.31436362749809377
41,Voit, Luke,572228,2020,234,160,0.387,0.374,0.013000000000000001,12.243037974683544,Yankees,2020.0,1B,-3.0,-4.0,,,-3.0,14811,Luke Voit,Luke Voit,Yankees,15.1,0.1,0.9,-4.1,15.3,-3.2,-1.4,7.6,18.3,1.8,$14.2,14811.0,1.2510634217744954
42,Solak, Nick,669256,2020,233,171,0.293,0.311,-0.018000000000000002,-0.19662447257383983,Rangers,2020.0,LF,-3.0,-3.0,,,-3.0,19294,Nick Solak,Nick Solak,Rangers,-6.6,2.4,-7.3,-1.1,-4.3,-8.4,0.8,7.6,-4.2,-0.4,($3.3),19294.0,0.5535115600086721
43,Conforto, Michael,624424,2020,233,145,0.395,0.359,0.036000000000000004,9.241350210970461,Mets,2020.0,RF,-5.0,-5.0,,,-5.0,16376,Michael Conforto,Michael Conforto,Mets,17.1,-0.2,0.1,-2.4,16.8,-2.3,-1.4,7.6,20.7,2.0,$16.1,16376.0,0.8976055770816445
44,Mondesi, Adalberto,609275,2020,233,151,0.3,0.255,0.045,-11.207594936708858,Royals,2020.0,SS,2.0,3.0,,,2.0,13769,Adalberto Mondesi,Adalberto Mondesi,Royals,-3.0,3.6,0.8,2.6,0.5,3.4,2.8,7.6,14.4,1.4,$11.2,13769.0,0.44546152459386773
45,Seager, Corey,608369,2020,232,177,0.387,0.41,-0.023,19.186497890295353,Dodgers,2020.0,SS,0.0,0.0,,,0.0,13624,Corey Seager,Corey Seager,Dodgers,15.3,-1.8,-3.5,1.0,13.5,-2.5,0.8,7.6,19.3,1.9,$15.0,13624.0,2.5230268846002284
46,Crawford, J.P.,641487,2020,232,167,0.298,0.307,-0.009000000000000001,-0.9789029535864988,Mariners,2020.0,SS,3.0,4.0,,,3.0,15491,J.P. Crawford,J.P. Crawford,Mariners,-1.7,-0.2,2.5,2.3,-1.9,4.9,0.8,7.6,11.3,1.1,$8.8,15491.0,1.135611902701585
47,Rendon, Anthony,543685,2020,232,158,0.389,0.375,0.013999999999999999,12.334177215189873,Angels,2020.0,3B,0.0,0.0,,,0.0,12861,Anthony Rendon,Anthony Rendon,Angels,16.0,0.0,2.9,0.8,16.0,3.7,0.8,7.6,28.1,2.7,$21.8,12861.0,2.0122001315263636
48,Rosario, Eddie,592696,2020,231,178,0.32799999999999996,0.306,0.022000000000000002,-1.169620253164558,Twins,2020.0,LF,-1.0,-1.0,,,-1.0,12155,Eddie Rosario,Eddie Rosario,Twins,2.9,-2.0,1.2,-2.7,0.9,-1.5,2.8,7.5,9.7,0.9,$7.6,12155.0,0.0635166785237139
49,Suarez, Eugenio,553993,2020,231,132,0.326,0.32799999999999996,-0.002,3.1189873417721437,Reds,2020.0,3B,1.0,1.0,,,1.0,12552,Eugenio Suarez,Eugenio Suarez,Reds,1.1,0.5,-1.3,0.8,1.7,-0.5,2.8,7.5,11.5,1.1,$9.0,12552.0,1.2586740015091935
50,Happ, Ian,664023,2020,231,136,0.363,0.348,0.015,7.0177215189873365,Cubs,2020.0,CF,0.0,0.0,,,0.0,17919,Ian Happ,Ian Happ,Cubs,9.2,0.2,-0.3,0.0,9.4,-0.3,2.8,7.5,19.4,1.9,$15.1,17919.0,1.4336141082214278
51,Alberto, Hanser,593643,2020,231,193,0.297,0.255,0.042,-11.11139240506329,Orioles,2020.0,2B,-2.0,-3.0,,,-2.0,11902,Hanser Alberto,Hanser Alberto,Orioles,-3.6,3.1,-0.5,0.7,-0.4,0.2,-1.4,7.5,5.9,0.6,$4.6,11902.0,-0.17396359300893854
52,Moncada, Yoan,660162,2020,231,130,0.305,0.28,0.025,-6.237974683544298,White Sox,2020.0,3B,2.0,3.0,,,2.0,17232,Yoan Moncada,Yoan Moncada,White Sox,-0.9,3.0,3.5,0.8,2.1,4.3,2.8,7.5,16.8,1.6,$13.1,17232.0,0.6890414372885709
53,Cabrera, Miguel,408234,2020,231,155,0.318,0.361,-0.043,9.551898734177213,,,,,,,,0.0,1744,Miguel Cabrera,Miguel Cabrera,Tigers,0.8,-2.1,,-6.0,-1.3,-6.0,2.8,7.5,2.9,0.3,$2.3,1744.0,0.8728455043690525
54,Grichuk, Randal,545341,2020,231,169,0.32899999999999996,0.32,0.009000000000000001,1.5594936708860772,Blue Jays,2020.0,CF,-1.0,-1.0,,,-1.0,10243,Randal Grichuk,Randal Grichuk,Blue Jays,3.4,0.1,-3.0,-0.1,3.5,-3.1,-1.4,7.5,6.5,0.6,$5.1,10243.0,0.7860525590966214
55,Goldschmidt, Paul,502671,2020,231,149,0.381,0.38,0.001,13.255696202531647,Cardinals,2020.0,1B,1.0,1.0,,,1.0,9218,Paul Goldschmidt,Paul Goldschmidt,Cardinals,13.6,1.1,1.3,-4.2,14.6,-2.9,2.8,7.5,22.1,2.1,$17.2,9218.0,1.8166110624661573
56,Gurriel, Yuli,493329,2020,230,189,0.276,0.308,-0.032,-0.7763713080168783,Astros,2020.0,1B,1.0,2.0,,,1.0,19198,Yuli Gurriel,Yuli Gurriel,Astros,-6.0,0.3,0.9,-4.3,-5.7,-3.4,0.8,7.5,-0.8,-0.1,($0.6),19198.0,0.36119058921510366
57,Frazier, Adam,624428,2020,230,175,0.28600000000000003,0.299,-0.013000000000000001,-2.5232067510548544,Pirates,2020.0,2B,5.0,6.0,,,5.0,15223,Adam Frazier,Adam Frazier,Pirates,-5.6,-1.4,3.6,-0.2,-7.0,3.4,2.8,7.5,6.7,0.6,$5.2,15223.0,0.8137450102384476
58,Fletcher, David,664058,2020,230,185,0.345,0.311,0.034,-0.19409282700421956,Angels,2020.0,SS,-2.0,-3.0,,,-2.0,17992,David Fletcher,David Fletcher,Angels,7.1,-0.7,0.4,1.5,6.4,1.9,0.8,7.5,16.6,1.6,$12.9,17992.0,0.5928846643962609
59,Anderson, Brian,605119,2020,229,135,0.342,0.312,0.03,0.0,Marlins,2020.0,3B,3.0,4.0,,,3.0,18289,Brian Anderson,Brian Anderson,Marlins,6.2,0.6,-1.5,0.6,6.8,-0.9,-1.4,7.5,12.0,1.2,$9.4,18289.0,1.1337840061182416
60,Davis, J.D.,605204,2020,229,135,0.33399999999999996,0.348,-0.013999999999999999,6.956962025316451,Mets,2020.0,3B,-4.0,-5.0,,,-4.0,16219,J.D. Davis,J.D. Davis,Mets,4.9,-2.7,-2.2,-1.2,2.2,-3.4,-1.4,7.5,4.9,0.5,$3.8,16219.0,0.6335857981155624
61,Kiner-Falefa, Isiah,643396,2020,228,180,0.303,0.287,0.016,-4.810126582278484,Rangers,2020.0,3B,3.0,5.0,,,3.0,16512,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Rangers,-4.5,-2.0,1.5,1.3,-6.5,2.8,0.8,7.4,4.5,0.4,$3.5,16512.0,0.47800766127314404
62,Calhoun, Kole,594777,2020,228,144,0.35700000000000004,0.364,-0.006999999999999999,10.005063291139239,Diamondbacks,2020.0,RF,-1.0,-1.0,,,-1.0,11200,Kole Calhoun,Kole Calhoun,Diamondbacks,7.6,0.5,5.3,-2.7,8.1,2.6,0.8,7.4,18.9,1.8,$14.7,11200.0,1.3839782772445233
63,La Stella, Tommy,600303,2020,228,187,0.35,0.337,0.013000000000000001,4.810126582278484,---,2020.0,2B,0.0,0.0,,,0.0,12371,Tommy La Stella,Tommy La Stella,- - -,8.2,-2.2,-0.8,-1.2,6.0,-2.0,0.8,7.4,12.2,1.2,$9.5,12371.0,0.859281067668492
64,Tucker, Kyle,663656,2020,228,164,0.34299999999999997,0.318,0.025,1.1544303797468365,Astros,2020.0,LF,4.0,4.0,,,4.0,18345,Kyle Tucker,Kyle Tucker,Astros,7.0,3.2,0.6,-3.1,10.3,-2.5,0.8,7.4,16.0,1.6,$12.4,18345.0,1.2331678404236324
65,Edman, Tommy,669242,2020,227,158,0.297,0.305,-0.008,-1.3409282700421952,Cardinals,2020.0,3B,3.0,4.0,,,3.0,19470,Tommy Edman,Tommy Edman,Cardinals,-3.0,-0.3,1.3,0.2,-3.3,1.5,2.8,7.4,8.3,0.8,$6.5,19470.0,0.8705998142411929
66,Robert, Luis,673357,2020,227,131,0.311,0.315,-0.004,0.574683544303798,White Sox,2020.0,CF,6.0,7.0,,,6.0,20043,Luis Robert,Luis Robert,White Sox,0.4,1.7,2.6,0.8,2.1,3.4,2.8,7.4,15.6,1.5,$12.1,20043.0,1.6015482497932247
67,Polanco, Jorge,593871,2020,226,177,0.284,0.293,-0.009000000000000001,-3.6236286919831255,Twins,2020.0,SS,0.0,0.0,,,0.0,13152,Jorge Polanco,Jorge Polanco,Twins,-5.6,-0.6,1.6,2.3,-6.3,3.9,2.8,7.4,7.8,0.8,$6.0,13152.0,0.5287143622513326
68,Gallo, Joey,608336,2020,226,114,0.292,0.3,-0.008,-2.288607594936711,Rangers,2020.0,RF,3.0,3.0,,,3.0,14128,Joey Gallo,Joey Gallo,Rangers,-6.5,2.7,6.1,-2.6,-3.7,3.5,0.8,7.4,8.0,0.8,$6.2,14128.0,0.7947152470058956
69,Jimenez, Eloy,650391,2020,226,158,0.36700000000000005,0.355,0.012,8.200843881856537,White Sox,2020.0,LF,-3.0,-3.0,,,-3.0,17484,Eloy Jimenez,Eloy Jimenez,White Sox,11.3,0.5,-2.3,-2.4,11.7,-4.7,2.8,7.4,17.1,1.7,$13.3,17484.0,1.0368326829904557
70,Contreras, Willson,575929,2020,225,134,0.331,0.341,-0.01,5.506329113924055,,,,,,2.0,51.2,2.0,11609,Willson Contreras,Willson Contreras,Cubs,2.7,-0.8,3.7,0.8,1.9,4.6,2.7,7.3,16.6,1.6,$12.9,11609.0,1.4426797396573208
71,Nimmo, Brandon,607043,2020,225,143,0.381,0.349,0.032,7.025316455696198,Mets,2020.0,CF,-3.0,-4.0,,,-3.0,12927,Brandon Nimmo,Brandon Nimmo,Mets,13.8,0.0,-3.9,-0.1,13.8,-4.0,-1.4,7.3,15.7,1.5,$12.2,12927.0,1.0943999635215633
72,Bogaerts, Xander,593428,2020,225,163,0.36200000000000004,0.327,0.035,2.848101265822787,Red Sox,2020.0,SS,-2.0,-2.0,,,-2.0,12161,Xander Bogaerts,Xander Bogaerts,Red Sox,8.3,2.7,0.3,2.1,11.1,2.4,-1.4,7.3,19.4,1.9,$15.1,12161.0,1.2619534365935912
73,Yastrzemski, Mike,573262,2020,225,137,0.4,0.355,0.045,8.164556962025312,Giants,2020.0,RF,-4.0,-5.0,,,-4.0,14854,Mike Yastrzemski,Mike Yastrzemski,Giants,17.2,0.8,2.1,-1.0,18.0,1.2,0.8,7.3,27.3,2.7,$21.2,14854.0,1.098216390902337
74,Gurriel Jr., Lourdes,666971,2020,224,162,0.366,0.331,0.035,3.591561181434602,Blue Jays,2020.0,LF,-2.0,-2.0,,,-2.0,19238,Lourdes Gurriel Jr.,Lourdes Gurriel Jr.,Blue Jays,10.4,-2.2,1.2,-2.6,8.2,-1.4,-1.4,7.3,12.8,1.2,$9.9,19238.0,0.3974226177055348
75,Lowe, Brandon,664040,2020,224,137,0.379,0.369,0.01,10.774683544303796,Rays,2020.0,2B,-1.0,-2.0,,,-1.0,18882,Brandon Lowe,Brandon Lowe,Rays,13.8,2.9,1.7,-0.3,16.7,1.4,-1.4,7.3,24.1,2.3,$18.7,18882.0,1.9129956932617684
76,Schwarber, Kyle,656941,2020,224,125,0.302,0.33,-0.027999999999999997,3.4025316455696233,Cubs,2020.0,LF,-3.0,-4.0,,,-3.0,16478,Kyle Schwarber,Kyle Schwarber,Cubs,-2.9,0.4,-0.8,-2.8,-2.4,-3.7,2.7,7.3,4.0,0.4,$3.1,16478.0,0.5151983874132785
77,Pillar, Kevin,607680,2020,223,167,0.335,0.312,0.023,0.0,---,2020.0,CF,-2.0,-2.0,,,-2.0,12434,Kevin Pillar,Kevin Pillar,- - -,1.5,1.9,1.7,-1.0,3.4,0.7,-0.4,7.3,10.9,1.1,$8.5,12434.0,0.5993165121955744
78,Bell, Josh,605137,2020,223,140,0.282,0.289,-0.006999999999999999,-4.328270042194096,Pirates,2020.0,1B,0.0,0.0,,,0.0,13145,Josh Bell,Josh Bell,Pirates,-6.3,0.2,-2.9,-4.7,-6.1,-7.6,2.7,7.3,-3.7,-0.4,($2.9),13145.0,-0.15231449754903723
79,Votto, Joey,458015,2020,223,143,0.342,0.35600000000000004,-0.013999999999999999,8.280168776371315,Reds,2020.0,1B,-2.0,-3.0,,,-2.0,4314,Joey Votto,Joey Votto,Reds,4.0,-1.7,-2.6,-4.0,2.4,-6.6,2.7,7.3,5.7,0.6,$4.4,4314.0,0.762725263058375
80,Laureano, Ramon,657656,2020,222,128,0.311,0.331,-0.02,3.559493670886079,Athletics,2020.0,CF,3.0,3.0,,,3.0,17128,Ramon Laureano,Ramon Laureano,Athletics,0.7,0.7,3.4,0.7,1.3,4.0,0.8,7.2,13.4,1.3,$10.4,17128.0,1.4772515321787747
81,Escobar, Eduardo,500871,2020,222,164,0.253,0.294,-0.040999999999999995,-3.37215189873418,Diamondbacks,2020.0,3B,-1.0,-1.0,,,-1.0,6153,Eduardo Escobar,Eduardo Escobar,Diamondbacks,-12.4,-0.9,0.0,0.3,-13.3,0.3,0.8,7.2,-5.0,-0.5,($3.9),6153.0,0.2195540443728753
82,Springer, George,543807,2020,222,153,0.373,0.387,-0.013999999999999999,14.050632911392405,Astros,2020.0,CF,1.0,1.0,,,1.0,12856,George Springer,George Springer,Astros,12.5,1.3,-2.2,0.0,13.9,-2.2,0.8,7.2,19.7,1.9,$15.3,12856.0,2.2933514388609693
83,Anderson, Tim,641313,2020,221,159,0.37,0.34700000000000003,0.023,6.5274261603375585,White Sox,2020.0,SS,-1.0,-2.0,,,-1.0,15172,Tim Anderson,Tim Anderson,White Sox,11.6,0.8,-2.3,2.1,12.5,-0.1,2.7,7.2,22.2,2.2,$17.3,15172.0,1.5195941400403452
