,last_name_x, first_name_x,player_id,year_x,pa,bip,woba,est_woba,est_woba_minus_woba_diff,xWRAA,display_team_name,year_y,primary_pos_formatted,fielding_runs_prevented,outs_above_average,runs_extra_strikes,strike_rate,xDRAA,fg_id_x,full_name,Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,fg_id_y,xWAR
0,Ozuna, Marcell,542303,2020,267,169,0.43700000000000006,0.41700000000000004,0.02,23.658227848101273,Braves,2020.0,LF,-1.0,-1.0,,,-1.0,10324,Marcell Ozuna,Marcell Ozuna,Braves,26.9,-0.2,-2.7,-5.0,26.8,-7.8,-1.6,8.7,26.1,2.5,$20.3,10324.0,2.5436000024240286
1,Lindor, Francisco,596019,2020,266,197,0.319,0.33299999999999996,-0.013999999999999999,4.713924050632904,Indians,2020.0,SS,4.0,5.0,,,4.0,12916,Francisco Lindor,Francisco Lindor,Indians,0.1,-2.5,5.8,2.4,-2.3,8.2,3.2,8.7,17.7,1.7,$13.8,12916.0,1.6802592522891149
2,Biggio, Cavan,624415,2020,265,159,0.35,0.307,0.043,-1.1181434599156128,Blue Jays,2020.0,2B,-2.0,-2.0,,,-2.0,19252,Cavan Biggio,Cavan Biggio,Blue Jays,8.7,0.8,-1.5,0.0,9.4,-1.5,-1.6,8.6,15.0,1.5,$11.7,19252.0,0.6138681507556266
3,Merrifield, Whit,593160,2020,265,216,0.324,0.324,0.0,2.6835443037974707,Royals,2020.0,RF,3.0,3.0,,,3.0,11281,Whit Merrifield,Whit Merrifield,Royals,2.0,0.0,0.9,-0.9,2.0,0.0,3.2,8.6,13.9,1.4,$10.8,11281.0,1.304559432968531
4,Swanson, Dansby,621020,2020,264,167,0.34299999999999997,0.337,0.006,5.569620253164561,Braves,2020.0,SS,-1.0,-2.0,,,-1.0,18314,Dansby Swanson,Dansby Swanson,Braves,5.4,4.2,0.2,2.6,9.6,2.8,-1.6,8.6,19.4,1.9,$15.1,18314.0,1.9419364174023261
5,Abreu, Jose,547989,2020,262,182,0.40399999999999997,0.379,0.025,14.813502109704642,White Sox,2020.0,1B,2.0,2.0,,,2.0,15676,Jose Abreu,Jose Abreu,White Sox,21.5,-1.0,-0.7,-4.7,20.5,-5.4,3.2,8.5,26.8,2.6,$20.9,15676.0,1.9106925218277742
6,Freeman, Freddie,518692,2020,262,177,0.449,0.441,0.008,28.52151898734177,Braves,2020.0,1B,0.0,1.0,,,0.0,5361,Freddie Freeman,Freddie Freeman,Braves,29.2,-0.3,3.1,-4.3,28.8,-1.3,-1.6,8.5,34.5,3.4,$26.9,5361.0,3.156366211541558
7,Hernandez, Cesar,514917,2020,261,177,0.33,0.317,0.013000000000000001,1.101265822784811,Indians,2020.0,2B,3.0,4.0,,,3.0,10556,Cesar Hernandez,Cesar Hernandez,Indians,2.7,0.4,3.8,0.9,3.1,4.7,3.2,8.5,19.4,1.9,$15.1,10556.0,1.3519683356442842
8,Story, Trevor,596115,2020,259,172,0.364,0.318,0.046,1.3113924050632924,Rockies,2020.0,SS,2.0,2.0,,,2.0,12564,Trevor Story,Trevor Story,Rockies,5.6,4.0,4.0,2.3,9.6,6.3,0.9,8.4,25.2,2.5,$19.6,12564.0,1.7550995349674565
9,Turner, Trea,607208,2020,259,199,0.406,0.37200000000000005,0.034,13.113924050632923,Nationals,2020.0,SS,2.0,2.0,,,2.0,16252,Trea Turner,Trea Turner,Nationals,19.0,2.4,-2.9,2.5,21.4,-0.5,-1.6,8.4,27.8,2.7,$21.7,16252.0,2.7668221225544665
10,Tatis Jr., Fernando,665487,2020,257,164,0.386,0.40399999999999997,-0.018000000000000002,19.952742616033746,Padres,2020.0,SS,5.0,7.0,,,5.0,19709,Fernando Tatis Jr.,Fernando Tatis Jr.,Padres,16.1,1.4,0.9,2.2,17.5,3.1,0.9,8.4,29.9,2.9,$23.3,19709.0,3.5909504025158747
11,Santana, Carlos,467793,2020,255,164,0.311,0.36,-0.049,10.32911392405063,Indians,2020.0,1B,-2.0,-2.0,,,-2.0,2396,Carlos Santana,Carlos Santana,Indians,-1.5,-0.9,-0.8,-4.6,-2.5,-5.4,3.1,8.3,3.6,0.3,$2.8,2396.0,1.082804099965715
12,Machado, Manny,592518,2020,254,191,0.385,0.368,0.017,12.003375527426158,Padres,2020.0,3B,2.0,3.0,,,2.0,11493,Manny Machado,Manny Machado,Padres,15.7,-1.7,2.8,0.4,14.0,3.2,0.9,8.3,26.4,2.6,$20.6,11493.0,2.039981284166913
13,Ramirez, Jose,608070,2020,254,177,0.408,0.358,0.05,9.859915611814342,Indians,2020.0,3B,1.0,1.0,,,1.0,13510,Jose Ramirez,Jose Ramirez,Indians,19.6,1.9,0.9,0.7,21.5,1.7,3.1,8.3,34.5,3.4,$26.9,13510.0,2.113560362594085
14,Grisham, Trent,663757,2020,252,153,0.344,0.355,-0.011000000000000001,9.14430379746835,Padres,2020.0,CF,6.0,6.0,,,6.0,18564,Trent Grisham,Trent Grisham,Padres,6.7,-0.2,7.5,0.9,6.4,8.3,0.9,8.2,23.9,2.3,$18.6,18564.0,2.3391250965773946
15,Marte, Starling,516782,2020,250,188,0.32799999999999996,0.313,0.015,0.21097046413502127,---,2020.0,CF,2.0,3.0,,,2.0,9241,Starling Marte,Starling Marte,- - -,2.9,2.1,-0.1,0.8,5.0,0.7,-0.2,8.1,13.7,1.3,$10.6,9241.0,1.2888950903362981
16,Devers, Rafael,646240,2020,248,165,0.331,0.318,0.013000000000000001,1.2556962025316467,Red Sox,2020.0,3B,-2.0,-2.0,,,-2.0,17350,Rafael Devers,Rafael Devers,Red Sox,2.7,0.9,-5.6,0.8,3.7,-4.8,-1.5,8.1,5.5,0.5,$4.3,17350.0,0.8784296310442347
17,Muncy, Max,571970,2020,248,145,0.311,0.35200000000000004,-0.040999999999999995,8.371308016877645,Dodgers,2020.0,3B,-2.0,-3.0,,,-2.0,13301,Max Muncy,Max Muncy,Dodgers,0.1,-0.4,-2.1,-2.2,-0.3,-4.3,0.9,8.1,4.3,0.4,$3.4,13301.0,1.1522685548281288
18,Seager, Kyle,572122,2020,248,176,0.33299999999999996,0.35,-0.017,7.95274261603375,Mariners,2020.0,3B,0.0,0.0,,,0.0,9785,Kyle Seager,Kyle Seager,Mariners,5.5,1.7,-0.4,0.1,7.2,-0.3,0.9,8.1,15.9,1.5,$12.4,9785.0,1.7340069908479794
19,Yelich, Christian,592885,2020,247,124,0.337,0.365,-0.027999999999999997,11.047257383966242,Brewers,2020.0,LF,-2.0,-2.0,,,-2.0,11477,Christian Yelich,Christian Yelich,Brewers,3.9,-1.2,-3.4,-3.0,2.8,-6.3,3.0,8.0,7.5,0.7,$5.8,11477.0,1.25374526866491
20,Blackmon, Charlie,453568,2020,247,182,0.335,0.317,0.018000000000000002,1.0421940928270053,Rockies,2020.0,RF,0.0,0.0,,,0.0,7859,Charlie Blackmon,Charlie Blackmon,Rockies,-1.0,-0.2,3.6,-3.2,-1.2,0.5,0.9,8.0,8.2,0.8,$6.4,7859.0,0.5529999573306135
21,Betts, Mookie,605141,2020,246,182,0.38299999999999995,0.349,0.034,7.681012658227843,Dodgers,2020.0,RF,4.0,5.0,,,4.0,13611,Mookie Betts,Mookie Betts,Dodgers,15.3,3.3,5.5,-2.5,18.6,3.1,0.9,8.0,30.6,3.0,$23.8,13611.0,1.9930167604800038
22,Hiura, Keston,669374,2020,246,134,0.299,0.304,-0.005,-1.6607594936708874,Brewers,2020.0,2B,-1.0,-2.0,,,-1.0,20003,Keston Hiura,Keston Hiura,Brewers,-4.2,-0.5,-4.0,-0.4,-4.8,-4.4,3.0,8.0,1.9,0.2,$1.5,20003.0,0.4328366251076314
23,Olson, Matt,621566,2020,245,133,0.311,0.326,-0.015,2.894514767932492,Athletics,2020.0,1B,2.0,3.0,,,2.0,14344,Matt Olson,Matt Olson,Athletics,0.8,0.2,2.5,-4.3,1.0,-1.8,0.9,8.0,8.0,0.8,$6.2,14344.0,0.8532517647871264
24,Harper, Bryce,547180,2020,244,150,0.39299999999999996,0.435,-0.042,25.326582278481013,Phillies,2020.0,RF,0.0,0.0,,,0.0,11579,Bryce Harper,Bryce Harper,Phillies,15.8,-0.6,-2.1,-3.0,15.2,-5.1,-1.5,7.9,16.6,1.6,$12.9,11579.0,2.8858817701488957
25,Rizzo, Anthony,519203,2020,243,167,0.321,0.33899999999999997,-0.018000000000000002,5.536708860759487,Cubs,2020.0,1B,-1.0,-1.0,,,-1.0,3473,Anthony Rizzo,Anthony Rizzo,Cubs,0.9,-0.4,3.9,-4.1,0.5,-0.2,3.0,7.9,11.2,1.1,$8.7,3473.0,0.7732150503336517
26,Bellinger, Cody,641355,2020,243,171,0.332,0.36,-0.027999999999999997,9.843037974683542,Dodgers,2020.0,CF,6.0,7.0,,,6.0,15998,Cody Bellinger,Cody Bellinger,Dodgers,4.4,0.5,0.0,-0.9,4.9,-0.9,0.9,7.9,12.8,1.2,$10.0,15998.0,2.271593684249627
27,Canha, Mark,592192,2020,243,142,0.34600000000000003,0.345,0.001,6.767088607594931,Athletics,2020.0,RF,0.0,0.0,,,0.0,11445,Mark Canha,Mark Canha,Athletics,8.1,2.2,2.5,-3.5,10.2,-1.0,0.9,7.9,18.0,1.7,$14.0,11445.0,1.3013593556084466
28,Guerrero Jr., Vladimir,665489,2020,243,183,0.33299999999999996,0.321,0.012,1.8455696202531662,Blue Jays,2020.0,1B,-2.0,-2.0,,,-2.0,19611,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Blue Jays,4.3,-0.9,-1.8,-5.0,3.5,-6.9,-1.5,7.9,3.0,0.3,$2.4,19611.0,0.18080703238905715
29,Franco, Maikel,596748,2020,243,189,0.324,0.29600000000000004,0.027999999999999997,-3.2810126582278394,Royals,2020.0,3B,-1.0,-2.0,,,-1.0,12179,Maikel Franco,Maikel Franco,Royals,1.9,-0.7,1.3,-0.2,1.2,1.1,3.0,7.9,13.2,1.3,$10.2,12179.0,0.2657533192514374
30,Walker, Christian,572233,2020,243,171,0.33299999999999996,0.32299999999999995,0.01,2.2556962025316363,Diamondbacks,2020.0,1B,0.0,0.0,,,0.0,13419,Christian Walker,Christian Walker,Diamondbacks,3.2,0.8,0.1,-4.7,4.0,-4.5,0.9,7.9,8.2,0.8,$6.4,13419.0,0.6097242257637381
31,Lewis, Kyle,641786,2020,242,137,0.344,0.332,0.012,4.084388185654012,Mariners,2020.0,CF,1.0,1.0,,,1.0,19508,Kyle Lewis,Kyle Lewis,Mariners,7.8,1.7,-1.7,0.7,9.5,-1.0,0.9,7.9,17.2,1.7,$13.4,19508.0,1.494389289730239
32,Castellanos, Nick,592206,2020,242,150,0.324,0.35600000000000004,-0.032,8.985654008438827,Reds,2020.0,RF,-4.0,-5.0,,,-4.0,11737,Nick Castellanos,,,,-1.2,,-2.6,,,,,,0.5,,,0.8817911398357454
33,McCutchen, Andrew,457705,2020,241,170,0.322,0.34299999999999997,-0.021,6.304641350210964,Phillies,2020.0,LF,-3.0,-3.0,,,-3.0,9847,Andrew McCutchen,Andrew McCutchen,Phillies,0.8,-1.6,-4.3,-3.3,-0.7,-7.6,-1.5,7.8,-1.9,-0.2,($1.5),9847.0,0.6081499753106848
34,Trout, Mike,545361,2020,241,147,0.4,0.408,-0.008,19.524050632911386,Angels,2020.0,CF,0.0,0.0,,,0.0,10155,Mike Trout,Mike Trout,Angels,19.0,1.3,-3.1,0.7,20.3,-2.4,0.9,7.8,26.6,2.6,$20.7,10155.0,2.8566822922432293
35,Reyes, Franmil,614177,2020,241,147,0.335,0.332,0.003,4.06751054852321,,,,,,,,0.0,14566,Franmil Reyes,Franmil Reyes,Indians,3.5,-1.9,-0.5,-6.2,1.6,-6.7,2.9,7.8,5.8,0.6,$4.5,14566.0,0.3711211091671569
36,Alonso, Pete,624413,2020,239,148,0.336,0.322,0.013999999999999999,2.0168776371308037,Mets,2020.0,1B,-2.0,-3.0,,,-2.0,19251,Pete Alonso,Pete Alonso,Mets,5.7,-2.0,-1.7,-4.6,3.7,-6.3,-1.4,7.8,3.7,0.4,$2.9,19251.0,0.11671880395124279
