last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
France, Ty,664034,---,2020,3B,0,-1,-1,0,0,0,0,0,89%,90%,-1%
Franco, Maikel,596748,Royals,2020,3B,-1,-2,2,-6,2,0,-4,3,87%,89%,-2%
Frazier, Adam,624428,Pirates,2020,2B,5,6,1,1,1,3,2,4,96%,91%,5%
Frazier, Clint,640449,Yankees,2020,RF,1,2,0,0,1,0,1,0,93%,90%,3%
Frazier, Todd,453943,---,2020,3B,-1,-1,-1,0,0,0,0,-1,88%,89%,-1%
Freeman, Freddie,518692,Braves,2020,1B,0,1,0,0,1,0,1,0,91%,90%,1%
Freeman, Mike,502273,Indians,2020,3B,-1,-1,0,-1,0,0,0,-1,88%,93%,-5%
Fuentes, Josh,658069,Rockies,2020,1B,0,0,0,0,0,0,1,0,90%,90%,0%
Gallo, Joey,608336,Rangers,2020,RF,3,3,1,1,0,1,2,2,90%,87%,3%
Galvis, Freddy,520471,Reds,2020,SS,-1,-2,-1,-1,-1,1,0,-2,85%,86%,-1%
Gamel, Ben,592325,Brewers,2020,RF,-1,-1,0,0,-1,0,1,-1,90%,91%,-1%
Garcia, Avisail,541645,Brewers,2020,CF,0,0,0,1,-2,1,0,0,84%,84%,0%
Garcia, Greg,594824,Padres,2020,2B,1,1,0,0,1,0,0,0,94%,91%,3%
Garcia, Jose,676480,Reds,2020,SS,0,0,0,1,-1,0,0,0,88%,88%,0%
Garcia, Leury,544725,White Sox,2020,SS,1,2,0,1,1,0,1,1,94%,89%,5%
Garcia, Luis,671277,Nationals,2020,2B,-3,-4,-2,-1,-2,1,-3,-1,85%,90%,-5%
Gardner, Brett,458731,Yankees,2020,LF,0,0,-1,0,1,0,-1,1,85%,85%,0%
Gimenez, Andres,665926,Mets,2020,SS,4,5,3,2,0,0,3,2,88%,82%,6%
Goldschmidt, Paul,502671,Cardinals,2020,1B,1,1,1,-2,0,1,1,0,94%,92%,2%
Gonzalez, Erik,570481,Pirates,2020,SS,2,3,0,1,1,0,2,0,88%,86%,2%
Gonzalez, Marwin,503556,Twins,2020,2B,3,4,2,2,-1,2,3,1,93%,89%,4%
Goodrum, Niko,592348,Tigers,2020,SS,4,5,2,-1,4,0,1,4,95%,91%,4%
Goodwin, Brian,571718,---,2020,CF,-2,-3,-1,0,-1,-1,-4,1,84%,87%,-3%
Gordon, Alex,460086,Royals,2020,LF,-2,-2,1,-2,-1,0,-3,2,87%,89%,-2%
Gosselin, Phil,594838,Phillies,2020,2B,0,0,0,0,0,0,0,0,81%,79%,2%
Gregorius, Didi,544369,Phillies,2020,SS,0,-1,-2,0,1,0,-1,1,92%,93%,-1%
Grichuk, Randal,545341,Blue Jays,2020,CF,-1,-1,-1,1,-2,0,-1,0,85%,85%,0%
Grisham, Trent,663757,Padres,2020,CF,6,6,1,2,4,-1,4,2,95%,91%,4%
Grossman, Robbie,543257,Athletics,2020,LF,3,4,-1,2,0,2,2,2,85%,82%,3%
Guerrero Jr., Vladimir,665489,Blue Jays,2020,1B,-2,-2,0,0,-2,0,-1,-1,89%,93%,-4%
Guillorme, Luis,641645,Mets,2020,2B,2,2,1,1,1,0,1,1,89%,84%,5%
Gurriel Jr., Lourdes,666971,Blue Jays,2020,LF,-2,-2,0,-2,1,-1,-1,-1,87%,89%,-2%
Gurriel, Yuli,493329,Astros,2020,1B,1,2,1,1,0,0,0,1,97%,95%,2%
Guzman, Ronald,608597,Rangers,2020,1B,0,0,-1,0,0,0,-1,1,94%,95%,-1%
Gyorko, Jedd,576397,Brewers,2020,1B,1,1,1,-1,1,0,1,-1,91%,89%,2%
Haggerty, Sam,664059,Mariners,2020,LF,-1,-1,1,0,-2,0,-1,-1,91%,95%,-4%
Hamilton, Billy,571740,---,2020,CF,2,2,0,1,1,0,2,0,100%,89%,11%
Hampson, Garrett,641658,Rockies,2020,2B,2,1,1,0,0,1,-1,2,92%,91%,1%
Happ, Ian,664023,Cubs,2020,CF,0,0,1,0,0,-1,1,-1,86%,86%,0%
Harper, Bryce,547180,Phillies,2020,RF,0,0,0,0,0,0,2,-1,90%,90%,0%
Harrison, Josh,543281,Nationals,2020,2B,2,2,0,1,0,1,1,1,93%,88%,5%
Harrison, Monte,656509,Marlins,2020,CF,0,0,1,0,0,0,1,-1,92%,91%,1%
Haseley, Adam,656514,Phillies,2020,CF,-2,-2,0,0,0,-2,-1,-2,84%,90%,-6%
Hayes, Ke'Bryan,663647,Pirates,2020,3B,2,3,2,-1,2,0,3,0,94%,90%,4%
Hays, Austin,669720,Orioles,2020,CF,1,1,0,1,0,-1,1,0,87%,86%,1%
Hechavarria, Adeiny,588751,Braves,2020,2B,0,0,0,0,-1,0,1,-1,90%,91%,-1%
Heineman, Scott,595981,Rangers,2020,CF,2,2,0,1,0,1,1,1,95%,91%,4%
Heredia, Guillermo,628338,---,2020,CF,2,2,1,1,1,0,1,1,93%,86%,7%
Hermosillo, Michael,641684,Angels,2020,LF,0,0,0,0,0,0,0,0,93%,95%,-2%
Hernandez, Cesar,514917,Indians,2020,2B,3,4,0,1,4,-1,1,2,93%,90%,3%
Hernandez, Enrique,571771,Dodgers,2020,2B,0,0,-2,1,0,1,1,0,88%,88%,0%
Hernandez, Teoscar,606192,Blue Jays,2020,RF,-4,-4,0,-3,-1,0,-3,-2,78%,83%,-5%
Heyward, Jason,518792,Cubs,2020,RF,1,1,0,0,1,1,1,0,91%,90%,1%
Hicks, Aaron,543305,Yankees,2020,CF,-4,-4,0,0,-3,-1,-3,-1,84%,87%,-3%
Hill, Derek,656537,Tigers,2020,CF,0,0,0,0,0,0,0,0,90%,86%,4%
Hilliard, Sam,656541,Rockies,2020,LF,0,0,0,0,-1,0,2,-3,87%,87%,0%
Hiura, Keston,669374,Brewers,2020,2B,-1,-2,-4,0,2,1,-1,-1,90%,92%,-2%
Hoerner, Nico,663538,Cubs,2020,2B,4,5,1,2,1,0,1,4,94%,89%,5%
Holt, Brock,571788,---,2020,3B,-1,-1,0,0,-1,1,-1,1,86%,88%,-2%
Hoskins, Rhys,656555,Phillies,2020,1B,-3,-4,-1,-2,-1,-1,-2,-2,75%,84%,-9%
Hosmer, Eric,543333,Padres,2020,1B,-1,-2,-1,0,-1,0,-1,-1,82%,86%,-4%
Iglesias, Jose,578428,Orioles,2020,SS,2,3,0,1,2,0,2,1,94%,88%,6%
Inciarte, Ender,542255,Braves,2020,CF,0,0,-1,2,1,-1,1,0,83%,83%,0%
Jankowski, Travis,608671,Reds,2020,CF,0,0,0,0,0,0,0,0,92%,88%,4%
Jay, Jon,445055,Diamondbacks,2020,CF,0,0,0,0,0,0,0,0,87%,87%,0%
Jimenez, Eloy,650391,White Sox,2020,LF,-3,-3,0,-3,-1,1,-1,-3,83%,87%,-4%
Jones, JaCoby,592444,Tigers,2020,CF,1,1,0,0,1,0,1,0,90%,87%,3%
Joyce, Matt,459964,Marlins,2020,RF,-2,-3,0,0,0,-2,0,-3,78%,82%,-4%
Judge, Aaron,592450,Yankees,2020,RF,0,0,1,-1,0,0,0,0,90%,89%,1%
Kemp, Tony,643393,Athletics,2020,2B,2,2,1,1,1,0,1,1,92%,89%,3%
Kepler, Max,596146,Twins,2020,RF,0,0,-1,0,0,0,-1,1,82%,82%,0%
Kieboom, Carter,666198,Nationals,2020,3B,0,0,-1,1,0,0,0,0,91%,91%,0%
Kiermaier, Kevin,595281,Rays,2020,CF,5,5,1,1,3,0,4,1,91%,87%,4%
Kiner-Falefa, Isiah,643396,Rangers,2020,3B,3,5,3,0,2,0,4,1,91%,88%,3%
Kingery, Scott,664068,Phillies,2020,2B,-3,-4,-1,-1,-2,0,-3,-1,80%,85%,-5%
Kipnis, Jason,543401,Cubs,2020,2B,-2,-3,-2,-1,1,-1,-3,0,85%,89%,-4%
La Stella, Tommy,600303,---,2020,2B,0,0,-1,0,1,0,-2,2,86%,87%,-1%
Lamb, Jake,571875,---,2020,3B,-1,-1,0,0,0,0,-1,0,80%,82%,-2%
Laureano, Ramon,657656,Athletics,2020,CF,3,3,0,2,0,1,2,1,93%,91%,2%
LeMahieu, DJ,518934,Yankees,2020,2B,-1,-1,0,-2,0,0,-1,-1,87%,89%,-2%
Lewis, Kyle,641786,Mariners,2020,CF,1,1,-1,0,1,0,1,0,90%,90%,0%
Lin, Tzu-Wei,624407,Red Sox,2020,SS,-1,-1,-2,0,0,0,-1,0,95%,97%,-2%
Lindor, Francisco,596019,Indians,2020,SS,4,5,3,0,1,1,4,1,92%,89%,3%
Locastro, Tim,641796,Diamondbacks,2020,CF,2,3,1,2,0,0,2,1,90%,85%,5%
Long Jr., Shed,643418,Mariners,2020,2B,0,-1,2,-3,1,0,-1,0,90%,91%,-1%
Longoria, Evan,446334,Giants,2020,3B,2,3,2,0,1,0,3,0,89%,87%,2%
Lopes, Tim,621005,Mariners,2020,LF,-4,-4,-2,-1,0,0,-1,-3,76%,84%,-8%
Lopez, Nicky,670032,Royals,2020,2B,3,5,1,3,1,-1,1,4,92%,89%,3%
Lowe, Brandon,664040,Rays,2020,2B,-1,-2,0,-2,0,0,-2,0,85%,86%,-1%
Lowe, Nate,663993,Rays,2020,1B,0,0,1,-1,0,0,1,-1,88%,88%,0%
Luplow, Jordan,656669,Indians,2020,LF,0,-1,0,0,0,0,0,0,80%,81%,-1%
Lux, Gavin,666158,Dodgers,2020,2B,0,0,0,0,0,0,1,-1,92%,92%,0%
Machado, Manny,592518,Padres,2020,3B,2,3,3,-1,2,-2,2,1,95%,92%,3%
Machin, Vimael,605353,Athletics,2020,SS,0,0,1,-1,1,0,0,1,85%,84%,1%
Madrigal, Nick,663611,White Sox,2020,2B,2,2,1,1,0,0,1,1,94%,91%,3%
Margot, Manuel,622534,Rays,2020,CF,2,2,-2,2,1,1,0,2,94%,92%,2%
Marisnick, Jake,545350,Mets,2020,CF,0,0,0,0,0,0,0,0,86%,85%,1%
Markakis, Nick,455976,Braves,2020,RF,1,1,1,0,0,0,1,0,87%,86%,1%
Marmolejos, Jose,592530,Mariners,2020,LF,-2,-2,0,0,-2,0,0,-2,85%,89%,-4%
Marte, Ketel,606466,Diamondbacks,2020,2B,1,1,-2,1,1,1,1,1,93%,92%,1%
Marte, Starling,516782,---,2020,CF,2,3,0,2,0,1,4,-1,89%,87%,2%
Martinez, J.D.,502110,Red Sox,2020,LF,0,0,0,1,-1,0,0,0,82%,86%,-4%
Mateo, Jorge,622761,Padres,2020,2B,0,0,0,0,0,0,0,0,90%,89%,1%
Mathias, Mark,664029,Brewers,2020,RF,0,0,1,-1,0,0,1,-1,90%,90%,0%
Mathisen, Wyatt,621500,Diamondbacks,2020,3B,0,-1,-1,0,1,0,-1,0,91%,93%,-2%
Maybin, Cameron,457727,---,2020,RF,0,0,-1,0,0,0,0,0,92%,92%,0%
Mayfield, Jack,608686,Astros,2020,3B,2,2,1,0,1,0,1,1,94%,89%,5%
Mazara, Nomar,608577,White Sox,2020,RF,1,1,0,0,0,1,1,0,90%,90%,0%
McBroom, Ryan,643436,Royals,2020,1B,-1,-1,0,-1,-1,0,-1,-1,73%,86%,-13%
McCutchen, Andrew,457705,Phillies,2020,LF,-3,-3,-1,0,-1,-1,-1,-2,78%,84%,-6%
McMahon, Ryan,641857,Rockies,2020,2B,1,1,1,-1,1,0,1,0,93%,92%,1%
McNeil, Jeff,643446,Mets,2020,3B,0,0,1,-2,0,1,0,0,89%,89%,0%
Meadows, Austin,640457,Rays,2020,LF,1,1,2,0,-1,0,1,0,84%,83%,1%
Mendick, Danny,664901,White Sox,2020,2B,-1,-1,2,-1,-1,0,-2,1,89%,90%,-1%
Mercado, Oscar,640458,Indians,2020,CF,1,1,0,1,1,-1,-1,1,91%,91%,0%
Merrifield, Whit,593160,Royals,2020,RF,3,3,3,-1,0,0,0,3,90%,88%,2%
Miller, Brad,543543,Cardinals,2020,3B,-2,-2,-3,1,0,0,-2,0,81%,90%,-9%
Moncada, Yoan,660162,White Sox,2020,3B,2,3,3,-1,0,0,3,0,94%,92%,2%
Mondesi, Adalberto,609275,Royals,2020,SS,2,3,3,-1,1,1,2,1,92%,90%,2%
Moniak, Mickey,666160,Phillies,2020,LF,-1,-1,0,0,-1,-1,-1,-1,86%,96%,-10%
Moore, Dylan,664238,Mariners,2020,RF,-1,-1,-2,-1,0,1,1,-3,91%,93%,-2%
Moran, Colin,592567,Pirates,2020,1B,0,0,1,-1,0,0,0,0,90%,90%,0%
Moreland, Mitch,519048,---,2020,1B,0,0,0,1,-1,0,0,0,89%,88%,1%
Mountcastle, Ryan,663624,Orioles,2020,LF,-1,-1,0,0,0,-1,-1,0,89%,92%,-3%
Moustakas, Mike,519058,Reds,2020,2B,-1,-1,0,-1,0,0,0,-1,90%,91%,-1%
Mullins, Cedric,656775,Orioles,2020,CF,4,5,0,3,1,0,3,2,95%,91%,4%
Muncy, Max,571970,Dodgers,2020,3B,-2,-3,-2,-1,1,0,-2,0,88%,91%,-3%
Munoz, Yairo,622168,Red Sox,2020,LF,0,0,0,0,0,0,0,0,82%,83%,-1%
Murphy, Daniel,502517,Rockies,2020,1B,0,0,0,-1,1,0,0,0,86%,86%,0%
Myers, Wil,571976,Padres,2020,RF,1,1,1,0,0,0,0,1,89%,89%,0%
Naquin, Tyler,571980,Indians,2020,RF,-4,-4,0,-3,-2,1,-3,-1,85%,90%,-5%
Naylor, Josh,647304,---,2020,LF,0,0,1,0,0,0,-1,1,89%,88%,1%
Newman, Kevin,621028,Pirates,2020,2B,-3,-4,-1,-1,-2,0,0,-4,84%,88%,-4%
Nimmo, Brandon,607043,Mets,2020,CF,-3,-4,-1,-1,-1,-1,-2,-2,83%,86%,-3%
Nunez, Renato,600524,Orioles,2020,1B,-2,-3,0,-1,-2,0,-2,-1,84%,93%,-9%
O'Hearn, Ryan,656811,Royals,2020,1B,-2,-3,-2,-1,0,0,0,-3,77%,90%,-13%
O'Neill, Tyler,641933,Cardinals,2020,LF,3,4,0,1,0,2,3,1,92%,88%,4%
Odor, Rougned,596059,Rangers,2020,2B,-1,-2,-2,0,0,0,-2,0,85%,87%,-2%
Olivares, Edward,658668,---,2020,CF,-1,-2,-1,-2,2,-1,0,-1,84%,87%,-3%
Olson, Matt,621566,Athletics,2020,1B,2,3,1,1,0,0,1,1,96%,93%,3%
Osuna, Jose,591741,Pirates,2020,RF,-1,-1,1,-2,-1,0,-1,0,85%,89%,-4%
Owings, Chris,572008,Rockies,2020,2B,-1,-1,0,-1,0,0,-1,-1,88%,91%,-3%
Ozuna, Marcell,542303,Braves,2020,LF,-1,-1,-1,0,0,0,-1,0,88%,89%,-1%
Pache, Cristian,665506,Braves,2020,CF,1,1,1,0,1,0,0,1,91%,87%,4%
Panik, Joe,605412,Blue Jays,2020,SS,0,0,0,0,0,0,0,1,90%,89%,1%
Paredes, Isaac,670623,Tigers,2020,3B,-2,-2,-2,0,0,0,-2,0,86%,89%,-3%
Pederson, Joc,592626,Dodgers,2020,LF,-1,-1,0,0,-1,0,0,-1,88%,90%,-2%
Pence, Hunter,452254,Giants,2020,RF,-1,-2,0,-2,0,0,-1,-1,85%,93%,-8%
Peralta, David,444482,Diamondbacks,2020,LF,1,1,1,0,1,0,0,1,87%,85%,2%
