last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Ozuna, Marcell,542303,2020,267,169,.338,.315,.023,.636,.638,-.002,.437,.417,.020
Lindor, Francisco,596019,2020,266,197,.258,.278,-.020,.415,.441,-.026,.319,.333,-.014
Biggio, Cavan,624415,2020,265,159,.250,.215,.035,.432,.347,.085,.350,.307,.043
Merrifield, Whit,593160,2020,265,216,.282,.292,-.010,.440,.440,.000,.324,.324,.000
Swanson, Dansby,621020,2020,264,167,.274,.266,.008,.464,.471,-.007,.343,.337,.006
Abreu, Jose,547989,2020,262,182,.317,.300,.017,.617,.585,.032,.404,.379,.025
Freeman, Freddie,518692,2020,262,177,.341,.341,.000,.640,.660,-.020,.449,.441,.008
Hernandez, Cesar,514917,2020,261,177,.283,.270,.013,.408,.391,.017,.330,.317,.013
Story, Trevor,596115,2020,259,172,.289,.253,.036,.519,.455,.064,.364,.318,.046
Turner, Trea,607208,2020,259,199,.335,.307,.028,.588,.521,.067,.406,.372,.034
Tatis Jr., Fernando,665487,2020,257,164,.277,.298,-.021,.571,.612,-.041,.386,.404,-.018
Santana, Carlos,467793,2020,255,164,.199,.253,-.054,.350,.450,-.100,.311,.360,-.049
Machado, Manny,592518,2020,254,191,.304,.304,.000,.580,.539,.041,.385,.368,.017
Ramirez, Jose,608070,2020,254,177,.292,.265,.027,.607,.510,.097,.408,.358,.050
Grisham, Trent,663757,2020,252,153,.251,.263,-.012,.456,.481,-.025,.344,.355,-.011
Marte, Starling,516782,2020,250,188,.281,.261,.020,.430,.412,.018,.328,.313,.015
Devers, Rafael,646240,2020,248,165,.263,.259,.004,.483,.465,.018,.331,.318,.013
Muncy, Max,571970,2020,248,145,.192,.235,-.043,.389,.481,-.092,.311,.352,-.041
Seager, Kyle,572122,2020,248,176,.241,.253,-.012,.433,.473,-.040,.333,.350,-.017
Yelich, Christian,592885,2020,247,124,.205,.250,-.045,.430,.476,-.046,.337,.365,-.028
Blackmon, Charlie,453568,2020,247,182,.303,.274,.029,.448,.421,.027,.335,.317,.018
Betts, Mookie,605141,2020,246,182,.292,.285,.007,.562,.487,.075,.383,.349,.034
Hiura, Keston,669374,2020,246,134,.212,.210,.002,.410,.434,-.024,.299,.304,-.005
Olson, Matt,621566,2020,245,133,.195,.224,-.029,.424,.455,-.031,.311,.326,-.015
Harper, Bryce,547180,2020,244,150,.268,.307,-.039,.542,.657,-.115,.393,.435,-.042
Rizzo, Anthony,519203,2020,243,167,.222,.266,-.044,.414,.412,.002,.321,.339,-.018
Bellinger, Cody,641355,2020,243,171,.239,.284,-.045,.455,.497,-.042,.332,.360,-.028
Canha, Mark,592192,2020,243,142,.246,.241,.005,.408,.413,-.005,.346,.345,.001
Guerrero Jr., Vladimir,665489,2020,243,183,.262,.263,-.001,.462,.441,.021,.333,.321,.012
