last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Franco, Maikel,596748,2020,243,189,.278,.259,.019,.457,.401,.056,.324,.296,.028
Walker, Christian,572233,2020,243,171,.271,.266,.005,.459,.454,.005,.333,.323,.010
Lewis, Kyle,641786,2020,242,137,.262,.240,.022,.437,.437,.000,.344,.332,.012
Castellanos, Nick,592206,2020,242,150,.225,.273,-.048,.486,.542,-.056,.324,.356,-.032
McCutchen, Andrew,457705,2020,241,170,.253,.277,-.024,.433,.485,-.052,.322,.343,-.021
Trout, Mike,545361,2020,241,147,.281,.292,-.011,.603,.613,-.010,.400,.408,-.008
Reyes, Franmil,614177,2020,241,147,.275,.251,.024,.450,.447,.003,.335,.332,.003
Alonso, Pete,624413,2020,239,148,.231,.227,.004,.490,.466,.024,.336,.322,.014
Gregorius, Didi,544369,2020,237,190,.284,.261,.023,.488,.396,.092,.342,.298,.044
Martinez, J.D.,502110,2020,237,154,.213,.231,-.018,.389,.447,-.058,.285,.304,-.019
Semien, Marcus,543760,2020,236,161,.223,.204,.019,.374,.348,.026,.294,.274,.020
Baez, Javier,595879,2020,235,149,.203,.215,-.012,.360,.378,-.018,.252,.265,-.013
Voit, Luke,572228,2020,234,160,.277,.284,-.007,.610,.593,.017,.387,.374,.013
Solak, Nick,669256,2020,233,171,.268,.264,.004,.344,.391,-.047,.293,.311,-.018
Conforto, Michael,624424,2020,233,145,.322,.284,.038,.515,.475,.040,.395,.359,.036
Mondesi, Adalberto,609275,2020,233,151,.256,.208,.048,.416,.348,.068,.300,.255,.045
Seager, Corey,608369,2020,232,177,.307,.330,-.023,.585,.653,-.068,.387,.410,-.023
Crawford, J.P.,641487,2020,232,167,.255,.256,-.001,.338,.360,-.022,.298,.307,-.009
Rendon, Anthony,543685,2020,232,158,.286,.288,-.002,.497,.471,.026,.389,.375,.014
Rosario, Eddie,592696,2020,231,178,.257,.244,.013,.476,.437,.039,.328,.306,.022
Suarez, Eugenio,553993,2020,231,132,.202,.218,-.016,.470,.475,-.005,.326,.328,-.002
Happ, Ian,664023,2020,231,136,.258,.262,-.004,.505,.470,.035,.363,.348,.015
Alberto, Hanser,593643,2020,231,193,.283,.247,.036,.393,.322,.071,.297,.255,.042
Moncada, Yoan,660162,2020,231,130,.225,.208,.017,.385,.338,.047,.305,.280,.025
Cabrera, Miguel,408234,2020,231,155,.250,.291,-.041,.417,.522,-.105,.318,.361,-.043
Grichuk, Randal,545341,2020,231,169,.273,.270,.003,.481,.469,.012,.329,.320,.009
Goldschmidt, Paul,502671,2020,231,149,.304,.287,.017,.466,.513,-.047,.381,.380,.001
Gurriel, Yuli,493329,2020,230,189,.232,.268,-.036,.384,.413,-.029,.276,.308,-.032
Frazier, Adam,624428,2020,230,175,.230,.253,-.023,.364,.380,-.016,.286,.299,-.013
Fletcher, David,664058,2020,230,185,.319,.292,.027,.425,.350,.075,.345,.311,.034
Anderson, Brian,605119,2020,229,135,.255,.228,.027,.465,.425,.040,.342,.312,.030
Davis, J.D.,605204,2020,229,135,.247,.258,-.011,.389,.430,-.041,.334,.348,-.014
Kiner-Falefa, Isiah,643396,2020,228,180,.280,.260,.020,.370,.340,.030,.303,.287,.016
Calhoun, Kole,594777,2020,228,144,.226,.264,-.038,.526,.519,.007,.357,.364,-.007
La Stella, Tommy,600303,2020,228,187,.281,.278,.003,.449,.424,.025,.350,.337,.013
Tucker, Kyle,663656,2020,228,164,.268,.267,.001,.512,.459,.053,.343,.318,.025
Edman, Tommy,669242,2020,227,158,.250,.265,-.015,.368,.367,.001,.297,.305,-.008
Robert, Luis,673357,2020,227,131,.233,.226,.007,.436,.466,-.030,.311,.315,-.004
Polanco, Jorge,593871,2020,226,177,.258,.264,-.006,.354,.384,-.030,.284,.293,-.009
Gallo, Joey,608336,2020,226,114,.181,.190,-.009,.378,.413,-.035,.292,.300,-.008
Jimenez, Eloy,650391,2020,226,158,.296,.285,.011,.559,.546,.013,.367,.355,.012
Contreras, Willson,575929,2020,225,134,.243,.249,-.006,.407,.441,-.034,.331,.341,-.010
Nimmo, Brandon,607043,2020,225,143,.280,.251,.029,.484,.424,.060,.381,.349,.032
Bogaerts, Xander,593428,2020,225,163,.300,.259,.041,.502,.472,.030,.362,.327,.035
Yastrzemski, Mike,573262,2020,225,137,.297,.255,.042,.568,.496,.072,.400,.355,.045
Gurriel Jr., Lourdes,666971,2020,224,162,.308,.281,.027,.534,.486,.048,.366,.331,.035
Lowe, Brandon,664040,2020,224,137,.269,.264,.005,.554,.555,-.001,.379,.369,.010
Schwarber, Kyle,656941,2020,224,125,.188,.225,-.037,.393,.444,-.051,.302,.330,-.028
Pillar, Kevin,607680,2020,223,167,.288,.270,.018,.462,.432,.030,.335,.312,.023
Bell, Josh,605137,2020,223,140,.226,.229,-.003,.364,.382,-.018,.282,.289,-.007
Votto, Joey,458015,2020,223,143,.226,.254,-.028,.446,.484,-.038,.342,.356,-.014
Laureano, Ramon,657656,2020,222,128,.213,.235,-.022,.366,.410,-.044,.311,.331,-.020
Escobar, Eduardo,500871,2020,222,164,.212,.263,-.051,.335,.395,-.060,.253,.294,-.041
Springer, George,543807,2020,222,153,.265,.294,-.029,.540,.570,-.030,.373,.387,-.014
Anderson, Tim,641313,2020,221,159,.322,.293,.029,.529,.509,.020,.370,.347,.023
Correa, Carlos,621043,2020,221,153,.264,.255,.009,.383,.404,-.021,.303,.305,-.002
Verdugo, Alex,657077,2020,221,157,.308,.239,.069,.478,.373,.105,.356,.291,.065
Myers, Wil,571976,2020,218,142,.288,.285,.003,.606,.588,.018,.393,.377,.016
Peralta, David,444482,2020,218,160,.300,.263,.037,.433,.375,.058,.328,.292,.036
Bradley Jr., Jackie,598265,2020,217,144,.283,.230,.053,.450,.376,.074,.347,.299,.048
Ahmed, Nick,605113,2020,217,153,.266,.247,.019,.402,.380,.022,.313,.295,.018
Segura, Jean,516416,2020,217,148,.266,.250,.016,.422,.390,.032,.328,.307,.021
Nunez, Renato,600524,2020,216,132,.256,.228,.028,.492,.433,.059,.341,.301,.040
Aguilar, Jesus,542583,2020,216,152,.277,.273,.004,.457,.456,.001,.342,.333,.009
LeMahieu, DJ,518934,2020,216,175,.364,.315,.049,.590,.462,.128,.422,.355,.067
Taylor, Chris,621035,2020,214,131,.270,.268,.002,.476,.481,-.005,.358,.354,.004
Cruz, Nelson,443558,2020,214,127,.303,.269,.034,.595,.543,.052,.405,.363,.042
Cabrera, Asdrubal,452678,2020,213,154,.242,.245,-.003,.447,.431,.016,.314,.306,.008
Reyes, Victor,622682,2020,213,157,.277,.287,-.010,.391,.428,-.037,.302,.317,-.015
Flores, Wilmer,527038,2020,213,163,.268,.251,.017,.515,.439,.076,.342,.300,.042
Hicks, Aaron,543305,2020,211,131,.225,.257,-.032,.414,.438,-.024,.346,.364,-.018
Pollock, AJ,572041,2020,210,153,.276,.274,.002,.566,.502,.064,.358,.333,.025
Altuve, Jose,514888,2020,210,153,.219,.230,-.011,.344,.352,-.008,.274,.280,-.006
Reddick, Josh,502210,2020,210,147,.245,.247,-.002,.378,.360,.018,.299,.291,.008
Dickerson, Corey,572816,2020,210,159,.258,.254,.004,.402,.402,.000,.303,.300,.003
Longoria, Evan,446334,2020,209,157,.254,.284,-.030,.425,.530,-.105,.303,.354,-.051
McNeil, Jeff,643446,2020,209,162,.311,.278,.033,.454,.410,.044,.354,.325,.029
Duvall, Adam,594807,2020,209,137,.237,.227,.010,.532,.515,.017,.342,.324,.018
Wong, Kolten,543939,2020,208,154,.265,.241,.024,.326,.311,.015,.300,.286,.014
Reynolds, Bryan,668804,2020,208,128,.189,.228,-.039,.357,.400,-.043,.273,.302,-.029
Garcia, Avisail,541645,2020,207,132,.238,.243,-.005,.326,.374,-.048,.291,.306,-.015
Hernandez, Teoscar,606192,2020,207,128,.289,.295,-.006,.579,.613,-.034,.378,.381,-.003
Villar, Jonathan,542340,2020,207,134,.232,.216,.016,.292,.287,.005,.262,.256,.006
Tapia, Raimel,606132,2020,206,150,.321,.252,.069,.402,.330,.072,.333,.286,.047
Riley, Austin,663586,2020,206,140,.239,.262,-.023,.415,.471,-.056,.302,.325,-.023
Candelario, Jeimer,600869,2020,206,136,.297,.277,.020,.503,.469,.034,.367,.340,.027
Adames, Willy,642715,2020,205,111,.259,.229,.030,.481,.395,.086,.341,.295,.046
Sano, Miguel,593934,2020,205,96,.204,.215,-.011,.478,.482,-.004,.312,.310,.002
Ruiz, Rio,547004,2020,204,141,.222,.216,.006,.427,.359,.068,.298,.267,.031
Solano, Donovan,456781,2020,203,152,.326,.281,.045,.463,.419,.044,.351,.307,.044
Acuna Jr., Ronald,660670,2020,202,100,.250,.254,-.004,.581,.590,-.009,.407,.401,.006
Profar, Jurickson,595777,2020,202,155,.278,.284,-.006,.428,.413,.015,.330,.329,.001
White, Evan,657108,2020,202,99,.176,.189,-.013,.346,.383,-.037,.257,.277,-.020
Arenado, Nolan,571448,2020,201,166,.253,.236,.017,.434,.389,.045,.303,.275,.028
Moran, Colin,592567,2020,200,127,.247,.255,-.008,.472,.480,-.008,.335,.336,-.001
Gonzalez, Marwin,503556,2020,199,138,.211,.242,-.031,.320,.404,-.084,.265,.304,-.039
Smith, Dominic,642086,2020,199,135,.316,.304,.012,.616,.568,.048,.405,.374,.031
Soto, Juan,665742,2020,196,126,.351,.332,.019,.695,.691,.004,.470,.451,.019
Kepler, Max,596146,2020,196,136,.228,.258,-.030,.439,.428,.011,.323,.329,-.006
Marte, Ketel,606466,2020,195,163,.287,.265,.022,.409,.379,.030,.311,.295,.016
Realmuto, J.T.,592663,2020,195,125,.266,.248,.018,.491,.499,-.008,.355,.344,.011
Grandal, Yasmani,518735,2020,194,105,.230,.210,.020,.422,.407,.015,.333,.313,.020
Gonzalez, Erik,570481,2020,193,134,.227,.239,-.012,.359,.396,-.037,.258,.283,-.025
Crawford, Brandon,543063,2020,193,127,.256,.238,.018,.465,.402,.063,.329,.298,.031
McMahon, Ryan,641857,2020,193,107,.215,.206,.009,.419,.393,.026,.303,.287,.016
Cronenworth, Jake,630105,2020,192,143,.285,.324,-.039,.477,.541,-.064,.350,.383,-.033
Grossman, Robbie,543257,2020,192,128,.241,.240,.001,.482,.398,.084,.345,.315,.030
Lopez, Nicky,670032,2020,192,131,.201,.236,-.035,.266,.305,-.039,.250,.278,-.028
Robles, Victor,645302,2020,189,118,.220,.202,.018,.315,.280,.035,.268,.254,.014
Vazquez, Christian,543877,2020,189,130,.283,.224,.059,.457,.360,.097,.340,.277,.063
Arcia, Orlando,606115,2020,189,142,.260,.281,-.021,.416,.428,-.012,.312,.325,-.013
Brantley, Michael,488726,2020,187,142,.300,.262,.038,.476,.415,.061,.356,.314,.042
Dozier, Hunter,641531,2020,186,110,.228,.235,-.007,.392,.383,.009,.321,.319,.002
Tsutsugo, Yoshi,660294,2020,185,108,.197,.212,-.015,.395,.420,-.025,.304,.311,-.007
Hoskins, Rhys,656555,2020,185,108,.245,.238,.007,.503,.512,-.009,.376,.368,.008
Gordon, Alex,460086,2020,184,126,.209,.227,-.018,.307,.348,-.041,.271,.289,-.018
Hampson, Garrett,641658,2020,184,111,.234,.224,.010,.383,.387,-.004,.285,.283,.002
Nola, Austin,543592,2020,184,129,.273,.279,-.006,.472,.463,.009,.347,.343,.004
Wendle, Joey,621563,2020,184,134,.286,.256,.030,.435,.377,.058,.329,.296,.033
d'Arnaud, Travis,518595,2020,184,116,.321,.304,.017,.533,.538,-.005,.386,.370,.016
Winker, Jesse,608385,2020,183,104,.255,.267,-.012,.544,.528,.016,.389,.383,.006
Akiyama, Shogo,673451,2020,183,121,.245,.245,.000,.297,.325,-.028,.299,.309,-.010
Cano, Robinson,429664,2020,182,148,.316,.301,.015,.544,.487,.057,.370,.341,.029
Encarnacion, Edwin,429665,2020,181,106,.157,.164,-.007,.377,.369,.008,.267,.268,-.001
Heyward, Jason,518792,2020,181,112,.265,.288,-.023,.456,.455,.001,.362,.371,-.009
Bregman, Alex,608324,2020,180,128,.242,.256,-.014,.451,.400,.051,.339,.327,.012
Shaw, Travis,543768,2020,180,114,.239,.242,-.003,.411,.439,-.028,.305,.310,-.005
Bohm, Alec,664761,2020,180,126,.338,.286,.052,.481,.464,.017,.375,.343,.032
Goodrum, Niko,592348,2020,179,92,.184,.185,-.001,.335,.339,-.004,.257,.256,.001
Belt, Brandon,474832,2020,179,113,.309,.285,.024,.591,.598,-.007,.420,.402,.018
Sanchez, Gary,596142,2020,178,92,.147,.193,-.046,.365,.431,-.066,.266,.299,-.033
Severino, Pedro,600474,2020,178,121,.250,.270,-.020,.388,.433,-.045,.307,.326,-.019
Dubon, Mauricio,643289,2020,177,124,.274,.257,.017,.389,.403,-.014,.313,.305,.008
Schoop, Jonathan,570731,2020,177,125,.278,.244,.034,.475,.383,.092,.334,.288,.046
Eaton, Adam,594809,2020,176,131,.226,.248,-.022,.384,.385,-.001,.283,.291,-.008
Turner, Justin,457759,2020,175,125,.307,.299,.008,.460,.553,-.093,.370,.386,-.016
Ohtani, Shohei,660271,2020,175,103,.190,.235,-.045,.366,.426,-.060,.286,.322,-.036
Polanco, Gregory,570256,2020,174,95,.153,.222,-.069,.325,.414,-.089,.228,.284,-.056
DeJong, Paul,657557,2020,174,106,.250,.240,.010,.349,.408,-.059,.292,.303,-.011
Soler, Jorge,624585,2020,174,90,.228,.244,-.016,.443,.490,-.047,.327,.338,-.011
Urshela, Gio,570482,2020,174,130,.298,.315,-.017,.490,.494,-.004,.359,.364,-.005
Frazier, Todd,453943,2020,172,115,.236,.227,.009,.382,.373,.009,.295,.281,.014
Newman, Kevin,621028,2020,172,138,.224,.254,-.030,.276,.336,-.060,.247,.283,-.036
Miller, Brad,543543,2020,171,97,.232,.253,-.021,.451,.483,-.032,.343,.364,-.021
Piscotty, Stephen,572039,2020,171,108,.226,.239,-.013,.358,.402,-.044,.269,.284,-.015
Dickerson, Alex,543105,2020,170,122,.298,.270,.028,.576,.497,.079,.387,.344,.043
Carpenter, Matt,572761,2020,169,92,.186,.215,-.029,.314,.408,-.094,.289,.323,-.034
Upton, Justin,457708,2020,166,105,.204,.229,-.025,.422,.430,-.008,.302,.315,-.013
Maldonado, Martin,455117,2020,165,86,.215,.206,.009,.378,.362,.016,.321,.307,.014
Santander, Anthony,623993,2020,165,128,.261,.286,-.025,.575,.510,.065,.358,.338,.020
Goodwin, Brian,571718,2020,164,92,.215,.212,.003,.417,.383,.034,.300,.286,.014
Pujols, Albert,405395,2020,163,128,.224,.248,-.024,.395,.400,-.005,.278,.285,-.007
Moustakas, Mike,519058,2020,163,105,.230,.242,-.012,.468,.436,.032,.334,.322,.012
Torres, Gleyber,650402,2020,160,108,.243,.243,.000,.368,.379,-.011,.321,.320,.001
Frazier, Clint,640449,2020,160,88,.267,.247,.020,.511,.449,.062,.382,.348,.034
Margot, Manuel,622534,2020,159,121,.269,.255,.014,.352,.377,-.025,.296,.300,-.004
Galvis, Freddy,520471,2020,159,111,.220,.221,-.001,.404,.361,.043,.307,.290,.017
Kiermaier, Kevin,595281,2020,159,96,.217,.249,-.032,.362,.376,-.014,.297,.316,-.019
Moore, Dylan,664238,2020,159,94,.255,.251,.004,.496,.464,.032,.362,.343,.019
Gardner, Brett,458731,2020,158,96,.223,.224,-.001,.392,.366,.026,.327,.316,.011
Chavis, Michael,656308,2020,158,98,.212,.224,-.012,.377,.391,-.014,.268,.279,-.011
O'Neill, Tyler,641933,2020,157,97,.173,.196,-.023,.360,.376,-.016,.267,.280,-.013
Perez, Salvador,521692,2020,156,115,.333,.325,.008,.633,.624,.009,.403,.387,.016
Molina, Yadier,425877,2020,156,126,.262,.256,.006,.359,.386,-.027,.286,.287,-.001
Hosmer, Eric,543333,2020,156,117,.287,.291,-.004,.517,.521,-.004,.353,.354,-.001
Ramos, Wilson,467092,2020,155,112,.239,.248,-.009,.387,.420,-.033,.293,.303,-.010
France, Ty,664034,2020,155,104,.305,.288,.017,.468,.485,-.017,.356,.346,.010
Mullins, Cedric,656775,2020,153,107,.271,.209,.062,.407,.296,.111,.308,.243,.065
Moreland, Mitch,519048,2020,152,104,.265,.237,.028,.551,.478,.073,.366,.322,.044
Chapman, Matt,656305,2020,152,89,.232,.245,-.013,.535,.539,-.004,.330,.329,.001
Meadows, Austin,640457,2020,152,84,.205,.182,.023,.371,.341,.030,.287,.263,.024
Lopes, Tim,621005,2020,151,109,.238,.234,.004,.364,.347,.017,.275,.266,.009
Valaika, Pat,642162,2020,150,108,.277,.264,.013,.475,.463,.012,.332,.314,.018
Iglesias, Jose,578428,2020,150,126,.373,.358,.015,.556,.500,.056,.401,.370,.031
Mazara, Nomar,608577,2020,149,92,.228,.223,.005,.294,.365,-.071,.263,.281,-.018
Berti, Jon,542932,2020,149,86,.258,.242,.016,.350,.315,.035,.332,.318,.014
Hernandez, Enrique,571771,2020,148,109,.230,.226,.004,.410,.385,.025,.285,.279,.006
Joyce, Matt,459964,2020,148,87,.252,.226,.026,.331,.337,-.006,.305,.300,.005
Odor, Rougned,596059,2020,148,93,.167,.193,-.026,.413,.421,-.008,.254,.266,-.012
Bryant, Kris,592178,2020,147,91,.206,.202,.004,.351,.348,.003,.281,.275,.006
Rosario, Amed,642708,2020,147,109,.252,.235,.017,.371,.344,.027,.273,.257,.016
Jansen, Danny,643376,2020,147,93,.183,.244,-.061,.358,.437,-.079,.295,.339,-.044
Choi, Ji-Man,596847,2020,145,89,.230,.195,.035,.410,.307,.103,.311,.267,.044
Bote, David,623520,2020,145,86,.200,.233,-.033,.408,.415,-.007,.304,.318,-.014
Stallings, Jacob,607732,2020,143,88,.248,.211,.037,.376,.331,.045,.305,.271,.034
Rojas, Miguel,500743,2020,143,107,.304,.278,.026,.496,.390,.106,.373,.323,.050
Markakis, Nick,455976,2020,141,107,.254,.280,-.026,.392,.369,.023,.302,.301,.001
Panik, Joe,605412,2020,141,93,.225,.250,-.025,.300,.356,-.056,.292,.316,-.024
Naquin, Tyler,571980,2020,141,95,.218,.268,-.050,.383,.474,-.091,.263,.313,-.050
Braun, Ryan,460075,2020,141,103,.233,.272,-.039,.488,.475,.013,.317,.325,-.008
Castro, Willi,650489,2020,140,94,.349,.299,.050,.550,.498,.052,.387,.343,.044
Murphy, Sean,669221,2020,140,79,.233,.219,.014,.457,.442,.015,.352,.335,.017
Mountcastle, Ryan,663624,2020,140,98,.333,.268,.065,.492,.434,.058,.371,.319,.052
Thames, Eric,519346,2020,140,81,.203,.219,-.016,.317,.377,-.060,.272,.292,-.020
Garcia, Luis,671277,2020,139,105,.276,.268,.008,.366,.378,-.012,.287,.286,.001
Renfroe, Hunter,592669,2020,139,86,.156,.198,-.042,.393,.408,-.015,.273,.293,-.020
Diaz, Yandy,650490,2020,138,97,.307,.251,.056,.386,.330,.056,.362,.322,.040
Pederson, Joc,592626,2020,138,87,.190,.238,-.048,.397,.446,-.049,.293,.325,-.032
Smith, Will,669257,2020,137,93,.289,.289,.000,.579,.538,.041,.404,.386,.018
Vogelbach, Daniel,596129,2020,136,82,.209,.234,-.025,.391,.413,-.022,.312,.324,-.012
Romine, Austin,519222,2020,135,84,.238,.209,.029,.323,.298,.025,.249,.224,.025
Buxton, Byron,621439,2020,135,96,.254,.249,.005,.577,.551,.026,.339,.320,.019
Gyorko, Jedd,576397,2020,135,81,.248,.250,-.002,.504,.508,-.004,.345,.342,.003
Kipnis, Jason,543401,2020,135,75,.237,.183,.054,.404,.339,.065,.321,.275,.046
Taveras, Leody,665750,2020,134,77,.227,.230,-.003,.395,.374,.021,.302,.291,.011
Hays, Austin,669720,2020,134,99,.279,.246,.033,.393,.355,.038,.310,.282,.028
Cooper, Garrett,643265,2020,133,89,.283,.304,-.021,.500,.521,-.021,.359,.368,-.009
Kemp, Matt,461314,2020,132,76,.239,.227,.012,.419,.435,-.016,.317,.312,.005
Murphy, Daniel,502517,2020,132,103,.236,.239,-.003,.333,.345,-.012,.255,.259,-.004
Gimenez, Andres,665926,2020,132,91,.263,.244,.019,.398,.358,.040,.316,.293,.023
Adell, Jo,666176,2020,132,69,.161,.175,-.014,.266,.291,-.025,.209,.222,-.013
Caratini, Victor,605170,2020,132,85,.241,.219,.022,.328,.323,.005,.293,.276,.017
O'Hearn, Ryan,656811,2020,132,77,.195,.231,-.036,.301,.388,-.087,.265,.307,-.042
Smoak, Justin,475253,2020,132,78,.176,.191,-.015,.361,.330,.031,.261,.250,.011
Inciarte, Ender,542255,2020,131,94,.190,.211,-.021,.250,.262,-.012,.230,.248,-.018
Kelly, Carson,608348,2020,129,93,.221,.222,-.001,.385,.362,.023,.275,.261,.014
Suzuki, Kurt,435559,2020,129,95,.270,.249,.021,.396,.356,.040,.322,.301,.021
Sogard, Eric,519299,2020,128,96,.209,.260,-.051,.278,.314,-.036,.250,.287,-.037
Bichette, Bo,666182,2020,128,96,.301,.291,.010,.512,.523,-.011,.347,.337,.010
Long Jr., Shed,643418,2020,128,80,.171,.177,-.006,.291,.307,-.016,.234,.242,-.008
Camargo, Johan,622666,2020,127,85,.200,.187,.013,.367,.317,.050,.258,.233,.025
Choo, Shin-Soo,425783,2020,127,79,.236,.251,-.015,.400,.454,-.054,.307,.324,-.017
Simmons, Andrelton,592743,2020,127,102,.297,.241,.056,.356,.284,.072,.308,.261,.047
Gamel, Ben,592325,2020,127,75,.237,.269,-.032,.404,.409,-.005,.308,.318,-.010
Tellez, Rowdy,642133,2020,127,95,.283,.286,-.003,.540,.510,.030,.363,.353,.010
Hoerner, Nico,663538,2020,126,86,.222,.242,-.020,.259,.315,-.056,.262,.289,-.027
Narvaez, Omar,553882,2020,126,69,.176,.173,.003,.269,.294,-.025,.258,.262,-.004
Bader, Harrison,664056,2020,125,67,.226,.198,.028,.443,.421,.022,.332,.314,.018
Pham, Tommy,502054,2020,125,82,.211,.264,-.053,.312,.453,-.141,.280,.345,-.065
Kingery, Scott,664068,2020,124,79,.159,.221,-.062,.283,.406,-.123,.224,.292,-.068
Albies, Ozzie,645277,2020,124,88,.271,.240,.031,.466,.420,.046,.324,.291,.033
Cave, Jake,595909,2020,123,69,.221,.213,.008,.389,.331,.058,.288,.264,.024
Kieboom, Carter,666198,2020,122,67,.202,.180,.022,.212,.220,-.008,.271,.267,.004
Sisco, Chance,642082,2020,121,57,.214,.197,.017,.378,.383,-.005,.330,.317,.013
Arraez, Luis,650333,2020,121,102,.321,.312,.009,.402,.458,-.056,.330,.346,-.016
Peraza, Jose,606299,2020,120,94,.225,.240,-.015,.342,.361,-.019,.266,.279,-.013
DeShields, Delino,592261,2020,120,82,.252,.222,.030,.318,.300,.018,.276,.260,.016
Urias, Luis,649966,2020,120,77,.239,.226,.013,.294,.294,.000,.269,.263,.006
Gomes, Yan,543228,2020,119,90,.284,.284,.000,.468,.464,.004,.326,.323,.003
Carlson, Dylan,666185,2020,119,76,.200,.246,-.046,.364,.443,-.079,.260,.303,-.043
Tucker, Cole,657061,2020,116,80,.220,.198,.022,.275,.259,.016,.230,.215,.015
Quinn, Roman,596451,2020,116,70,.213,.201,.012,.315,.275,.040,.250,.235,.015
Varsho, Daulton,662139,2020,115,68,.188,.196,-.008,.366,.344,.022,.283,.277,.006
Marmolejos, Jose,592530,2020,115,75,.206,.233,-.027,.411,.446,-.035,.283,.300,-.017
Mendick, Danny,664901,2020,114,83,.243,.222,.021,.383,.309,.074,.281,.250,.031
Judge, Aaron,592450,2020,114,69,.257,.266,-.009,.554,.546,.008,.368,.361,.007
Kemp, Tony,643393,2020,114,82,.247,.255,-.008,.301,.346,-.045,.303,.319,-.016
Hilliard, Sam,656541,2020,114,63,.210,.191,.019,.438,.346,.092,.296,.257,.039
Brinson, Lewis,621446,2020,112,76,.226,.246,-.020,.368,.382,-.014,.271,.284,-.013
Stewart, DJ,621466,2020,112,52,.193,.194,-.001,.455,.395,.060,.347,.326,.021
Tauchman, Mike,643565,2020,111,70,.242,.253,-.011,.305,.327,-.022,.281,.293,-.012
McCann, James,543510,2020,111,69,.289,.258,.031,.536,.455,.081,.372,.329,.043
Bart, Joey,663698,2020,111,62,.233,.201,.032,.320,.294,.026,.267,.240,.027
Andrus, Elvis,462101,2020,111,88,.194,.233,-.039,.330,.390,-.060,.251,.286,-.035
Barnhart, Tucker,571466,2020,110,70,.204,.227,-.023,.388,.412,-.024,.292,.302,-.010
Perez, Roberto,547379,2020,110,59,.165,.201,-.036,.216,.283,-.067,.225,.260,-.035
Madrigal, Nick,663611,2020,109,96,.340,.304,.036,.369,.355,.014,.327,.308,.019
Wolters, Tony,547172,2020,109,72,.230,.262,-.032,.270,.344,-.074,.245,.281,-.036
Calhoun, Willie,641432,2020,108,85,.190,.196,-.006,.260,.272,-.012,.214,.230,-.016
