last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2019,747,556,.285,.275,.010,.522,.503,.019,.373,.367,.006
Merrifield, Whit,593160,2019,735,559,.302,.286,.016,.463,.442,.021,.340,.332,.008
Acuna Jr., Ronald,660670,2019,715,439,.280,.282,-.002,.518,.578,-.060,.369,.393,-.024
Villar, Jonathan,542340,2019,714,472,.274,.247,.027,.453,.414,.039,.335,.316,.019
Betts, Mookie,605141,2019,706,505,.295,.313,-.018,.524,.580,-.056,.380,.414,-.034
Hoskins, Rhys,656555,2019,705,403,.226,.221,.005,.454,.429,.025,.347,.344,.003
Polanco, Jorge,593871,2019,704,524,.295,.277,.018,.485,.478,.007,.352,.349,.003
Devers, Rafael,646240,2019,702,531,.311,.302,.009,.555,.533,.022,.377,.371,.006
Albies, Ozzie,645277,2019,702,532,.295,.292,.003,.500,.497,.003,.354,.356,-.002
Escobar, Eduardo,500871,2019,699,516,.269,.259,.010,.511,.473,.038,.341,.332,.009
Bogaerts, Xander,593428,2019,698,498,.309,.278,.031,.555,.484,.071,.390,.361,.029
Abreu, Jose,547989,2019,693,492,.284,.282,.002,.503,.522,-.019,.344,.363,-.019
Alonso, Pete,624413,2019,693,417,.260,.258,.002,.583,.545,.038,.384,.379,.005
Freeman, Freddie,518692,2019,692,472,.295,.297,-.002,.549,.581,-.032,.387,.402,-.015
Bregman, Alex,608324,2019,690,479,.296,.272,.024,.592,.465,.127,.418,.380,.038
Santana, Carlos,467793,2019,686,467,.281,.271,.010,.515,.491,.024,.380,.372,.008
Harper, Bryce,547180,2019,682,399,.260,.277,-.017,.510,.551,-.041,.366,.390,-.024
Goldschmidt, Paul,502671,2019,682,434,.260,.261,-.001,.476,.517,-.041,.346,.364,-.018
Mancini, Trey,641820,2019,679,464,.291,.279,.012,.535,.510,.025,.373,.366,.007
Soler, Jorge,624585,2019,679,415,.265,.278,-.013,.569,.596,-.027,.378,.397,-.019
Castro, Starlin,516770,2019,676,534,.270,.269,.001,.436,.439,-.003,.307,.316,-.009
Chapman, Matt,656305,2019,670,439,.249,.255,-.006,.506,.507,-.001,.354,.362,-.008
Hernandez, Cesar,514917,2019,667,516,.279,.269,.010,.408,.383,.025,.315,.309,.006
Hosmer, Eric,543333,2019,667,461,.265,.255,.010,.425,.417,.008,.309,.309,.000
DeJong, Paul,657557,2019,664,440,.233,.239,-.006,.444,.448,-.004,.322,.333,-.011
Castellanos, Nick,592206,2019,664,475,.289,.285,.004,.525,.552,-.027,.358,.370,-.012
Arenado, Nolan,571448,2019,662,503,.315,.274,.041,.583,.489,.094,.392,.349,.043
Suarez, Eugenio,553993,2019,662,392,.271,.251,.020,.572,.509,.063,.381,.361,.020
Bellinger, Cody,641355,2019,661,454,.305,.324,-.019,.629,.647,-.018,.415,.437,-.022
